conflict_id,full_conflict_lines,context_before_lines,conflict_lines,context_after_lines,resolution_lines,parent1_lines,parent2_lines,base_lines,num_tokens_query,resolution_in_left_or_right,selected
33-2657-1-2,38,5,28,5,0,25,0,-1,539,True,False
33-2658-0-1,18,5,8,5,3,3,2,-1,261,False,False
33-2658-0-2,15,5,5,5,1,1,1,-1,262,True,False
33-2658-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2665-0-2,43,5,33,5,29,28,2,-1,584,False,False
33-2666-0-1,15,5,5,5,2,2,0,-1,247,True,False
33-2666-0-2,15,5,5,5,1,1,1,-1,262,True,False
33-2666-0-3,40,5,30,5,27,27,0,-1,546,True,False
33-2666-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2666-1-2,15,5,5,5,1,1,1,-1,261,True,False
33-2666-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2667-0-1,25,5,15,5,0,12,0,-1,348,True,False
33-2671-0-1,15,5,5,5,1,1,1,-1,269,True,False
33-2671-0-2,15,5,5,5,25,1,1,-1,274,False,False
33-2672-0-1,15,5,5,5,1,1,1,-1,262,True,False
33-2672-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2672-1-2,15,5,5,5,1,1,1,-1,261,True,False
33-2672-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2677-0-1,15,5,5,5,1,1,1,-1,258,True,False
33-2677-0-2,23,5,13,5,5,5,5,-1,403,True,False
33-2677-0-3,23,5,13,5,138,5,5,-1,368,False,False
33-2679-0-1,15,5,5,5,1,1,1,-1,269,True,False
33-2679-0-2,15,5,5,5,25,1,1,-1,277,False,False
33-2680-0-1,15,5,5,5,1,1,1,-1,262,True,False
33-2680-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2680-1-2,15,5,5,5,1,1,1,-1,261,True,False
33-2680-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2688-0-1,20,5,10,5,6,3,4,-1,348,False,False
33-2688-0-2,18,5,8,5,2,4,1,-1,403,False,False
33-2688-0-3,15,5,5,5,2,1,1,-1,302,False,False
33-2693-0-1,19,5,9,5,6,1,5,-1,317,False,False
33-2693-0-4,16,5,6,5,3,1,2,-1,310,False,False
33-2697-0-1,15,5,5,5,2,1,1,-1,355,False,False
33-2697-0-2,15,5,5,5,2,1,1,-1,301,False,False
33-2698-0-1,22,5,12,5,8,3,6,-1,350,False,False
33-2698-0-2,16,5,6,5,3,1,2,-1,365,False,False
33-2735-0-1,15,5,5,5,2,2,0,-1,280,True,False
33-2735-0-2,50,5,40,5,17,20,17,-1,601,True,False
33-2735-0-3,51,5,46,0,0,23,20,-1,625,True,False
33-2744-0-1,73,5,68,0,0,24,41,-1,805,True,False
33-2754-0-1,16,5,6,5,3,2,1,-1,309,False,False
33-2776-0-1,17,5,7,5,3,2,2,-1,299,False,False
33-2776-0-2,16,5,6,5,3,2,1,-1,369,False,False
33-2776-0-3,16,5,6,5,3,2,1,-1,320,False,False
33-2777-0-1,16,5,6,5,3,2,1,-1,376,False,False
33-2777-0-2,15,5,5,5,3,1,1,-1,327,False,False
33-2777-0-3,16,5,6,5,3,2,1,-1,317,False,False
33-2778-0-1,17,5,7,5,4,2,2,-1,311,False,False
33-2778-0-2,16,5,6,5,3,2,1,-1,370,False,False
33-2778-0-3,16,5,6,5,3,2,1,-1,309,False,False
33-2779-0-1,19,5,9,5,6,2,4,-1,333,False,False
33-2779-0-2,16,5,6,5,3,2,1,-1,371,False,False
33-2779-0-3,16,5,6,5,3,2,1,-1,308,False,False
33-2779-0-4,16,5,6,5,3,2,1,-1,317,False,False
33-2794-0-1,15,5,5,5,1,1,1,-1,269,True,False
33-2794-0-2,35,5,25,5,10,11,11,-1,463,False,False
33-2794-0-3,17,5,7,5,141,2,2,-1,279,False,False
33-2794-0-4,36,5,26,5,61,11,12,-1,488,False,False
33-425-0-1,16,5,6,5,2,1,2,-1,304,True,False
33-425-2-3,25,5,15,5,10,8,4,-1,403,False,False
33-425-2-7,124,5,118,1,23,115,0,-1,1168,True,False
33-433-0-1,23,5,13,5,5,5,5,-1,366,True,False
33-433-1-1,18,5,8,5,5,4,1,-1,265,False,False
33-433-1-2,34,5,24,5,17,8,13,-1,470,False,False
33-435-0-1,20,5,10,5,5,6,1,-1,298,False,False
33-435-0-2,18,5,8,5,3,3,2,-1,248,False,True
33-435-0-3,16,5,6,5,3,2,1,-1,259,False,False
33-435-0-4,26,5,16,5,10,9,4,-1,393,False,False
33-435-0-5,54,5,47,2,54,8,36,-1,544,False,False
33-445-0-1,14,5,4,5,0,1,0,-1,240,True,False
33-445-0-2,21,5,11,5,3,5,3,-1,284,True,False
33-445-0-3,21,5,11,5,3,5,3,-1,299,True,False
33-445-0-4,21,5,11,5,3,5,3,-1,293,True,False
33-445-0-5,19,5,9,5,2,4,2,-1,275,True,False
33-445-0-6,14,5,4,5,0,1,0,-1,281,True,False
33-445-1-1,14,5,4,5,0,1,0,-1,239,True,False
33-445-1-2,10,5,4,1,0,1,0,-1,205,True,False
33-488-0-1,37,1,31,5,14,14,14,-1,437,True,False
33-488-0-2,28,5,18,5,7,7,8,-1,414,True,False
33-488-1-1,37,1,31,5,14,14,14,-1,444,True,False
33-488-1-2,41,5,31,5,14,14,14,-1,649,True,False
33-488-1-3,19,5,9,5,3,3,3,-1,287,True,False
33-488-1-4,27,5,17,5,7,7,7,-1,364,True,False
33-488-1-5,35,5,25,5,16,16,6,-1,413,True,False
33-488-2-1,37,1,31,5,14,14,14,-1,433,True,False
33-488-3-1,37,1,31,5,14,14,14,-1,433,True,False
33-489-1-1,28,5,18,5,6,6,9,-1,399,False,False
33-489-1-4,24,5,14,5,6,6,5,-1,354,True,False
33-489-1-5,38,5,28,5,13,13,12,-1,548,True,False
33-489-1-6,24,5,14,5,6,6,5,-1,340,True,False
33-494-0-1,13,1,7,5,2,2,2,-1,230,True,False
33-494-1-1,11,1,5,5,1,1,1,-1,215,True,False
33-734-0-1,17,5,7,5,3,3,1,-1,308,True,False
33-736-0-1,32,5,22,5,22,18,1,-1,527,False,False
33-736-0-2,23,5,13,5,5,5,5,-1,258,True,False
33-736-0-3,15,5,5,5,2,1,1,-1,264,False,False
33-751-0-1,66,5,56,5,4,4,49,-1,804,True,False
33-751-0-2,39,5,29,5,24,24,2,-1,419,True,False
33-918-0-1,15,5,5,5,1,1,1,-1,244,True,False
33-918-1-1,15,5,5,5,1,1,1,-1,246,True,False
33-918-2-1,15,5,5,5,1,1,1,-1,246,True,False
33-921-0-1,62,5,52,5,26,23,26,-1,780,True,False
37-15-0-1,141,5,131,5,170,95,33,-1,1855,False,False
37-15-2-10,15,5,5,5,1,1,1,-1,214,False,True
37-15-2-11,15,5,5,5,1,1,1,-1,214,False,True
37-15-2-12,15,5,5,5,1,1,1,-1,215,False,True
37-15-2-13,15,5,5,5,1,1,1,-1,217,False,True
37-15-2-15,19,5,9,5,3,3,3,-1,260,False,False
37-15-2-16,15,5,5,5,1,1,1,-1,235,False,True
37-15-2-17,15,5,5,5,1,1,1,-1,238,False,True
37-15-2-18,15,5,5,5,1,1,1,-1,239,False,True
37-15-2-19,15,5,5,5,1,1,1,-1,236,False,True
37-15-2-20,23,5,13,5,5,5,5,-1,280,False,False
37-15-2-21,23,5,13,5,5,5,5,-1,276,False,False
37-15-2-22,35,5,25,5,11,11,11,-1,331,False,False
37-15-2-23,43,5,33,5,3,15,15,-1,377,False,False
37-15-2-24,15,5,5,5,1,1,1,-1,238,False,True
37-15-2-25,15,5,5,5,13,1,1,-1,235,False,True
37-15-2-26,19,5,9,5,3,3,3,-1,263,False,False
37-15-2-27,23,5,13,5,5,5,5,-1,291,False,False
37-15-2-28,35,5,25,5,168,11,11,-1,347,False,False
37-15-2-29,23,5,13,5,5,5,5,-1,291,False,False
37-15-2-30,15,5,5,5,1,1,1,-1,242,False,True
37-15-2-31,27,5,17,5,7,7,7,-1,334,False,False
37-15-2-32,15,5,5,5,1,1,1,-1,205,False,True
37-15-2-33,15,5,5,5,1,1,1,-1,203,False,True
37-15-2-38,15,5,5,5,1,1,1,-1,263,False,False
37-15-2-39,15,5,5,5,1,1,1,-1,275,False,False
37-15-2-4,15,5,5,5,1,1,1,-1,251,False,True
37-15-2-40,25,5,15,5,6,6,6,-1,366,False,False
37-15-2-41,25,5,15,5,6,6,6,-1,336,False,False
37-15-2-42,15,5,5,5,1,1,1,-1,213,False,True
37-15-2-43,19,5,9,5,3,3,3,-1,259,False,False
37-15-2-44,15,5,5,5,1,1,1,-1,202,False,True
37-15-2-45,15,5,5,5,1,1,1,-1,246,False,True
37-15-2-46,19,5,9,5,3,3,3,-1,259,False,False
37-15-2-47,35,5,25,5,11,11,11,-1,511,False,False
37-15-2-48,19,5,9,5,3,3,3,-1,258,False,False
37-15-2-49,35,5,25,5,70,11,11,-1,511,False,False
37-15-2-5,15,5,5,5,1,1,1,-1,232,False,True
37-15-2-50,19,5,9,5,3,3,3,-1,258,False,False
37-15-2-51,35,5,25,5,129,11,11,-1,511,False,False
37-15-2-52,19,5,9,5,3,3,3,-1,258,False,False
37-15-2-53,35,5,25,5,188,11,11,-1,512,False,False
37-15-2-54,19,5,9,5,3,3,3,-1,258,False,False
37-15-2-56,138,5,128,5,65,59,66,-1,8489,False,False
37-15-2-6,15,5,5,5,1,1,1,-1,213,False,True
37-15-2-7,15,5,5,5,1,1,1,-1,213,False,True
37-15-2-8,15,5,5,5,1,1,1,-1,214,False,True
37-15-2-9,15,5,5,5,1,1,1,-1,214,False,True
38-10-0-1,18,5,8,5,3,3,2,-1,246,True,False
38-10-1-1,15,5,5,5,2,1,1,-1,284,False,False
38-10-3-1,15,5,5,5,1,1,1,-1,302,True,False
38-14-0-1,12,3,4,5,1,0,1,-1,222,True,False
38-14-0-2,14,5,4,5,1,0,1,-1,225,True,False
38-14-0-3,27,5,17,5,7,7,7,-1,411,True,False
38-14-2-1,29,5,19,5,0,16,0,-1,325,True,False
38-141-0-1,15,5,5,5,1,0,2,-1,215,True,False
38-141-0-2,20,5,10,5,2,5,2,-1,310,True,False
38-141-0-3,20,5,10,5,2,5,2,-1,318,True,False
38-141-0-5,20,5,10,5,5,6,1,-1,311,False,False
38-141-0-6,27,5,17,5,0,14,0,-1,339,True,False
38-142-0-1,24,2,17,5,7,7,7,-1,407,True,False
38-142-0-2,16,5,6,5,2,1,2,-1,306,True,False
38-142-1-1,13,2,6,5,3,3,0,-1,200,True,False
38-142-1-2,112,5,106,1,100,100,3,-1,1117,True,False
38-146-0-1,15,5,5,5,1,1,1,-1,226,True,False
38-153-0-3,37,5,27,5,12,12,12,-1,706,False,False
38-154-0-1,28,5,18,5,8,7,8,-1,321,True,False
38-154-1-1,202,5,192,5,0,189,0,-1,2169,True,False
38-154-1-2,14,5,4,5,0,1,0,-1,238,True,False
38-154-2-4,82,5,72,5,41,28,41,-1,975,True,False
38-154-2-5,15,5,5,5,1,1,1,-1,295,True,False
38-154-2-6,23,5,13,5,5,5,5,-1,417,True,False
38-161-0-1,16,5,6,5,3,0,3,-1,232,True,False
38-165-0-1,15,5,5,5,1,1,1,-1,317,True,False
38-166-0-1,35,5,25,5,17,17,5,-1,522,True,False
38-166-0-2,29,5,19,5,9,9,7,-1,500,True,False
38-167-0-1,17,5,7,5,3,3,1,-1,241,True,False
38-167-0-2,18,5,8,5,4,4,1,-1,246,True,False
38-185-0-1,16,5,6,5,2,1,2,-1,226,False,True
38-195-0-1,22,5,12,5,0,0,9,-1,301,True,False
38-198-0-1,15,5,5,5,1,1,1,-1,271,True,False
38-201-1-3,15,5,5,5,1,1,1,-1,234,True,False
38-201-2-1,25,5,15,5,12,11,1,-1,318,False,False
38-201-2-2,14,5,4,5,1,1,0,-1,213,True,False
38-201-2-3,20,5,10,5,4,4,3,-1,660,True,False
38-202-0-1,15,5,5,5,2,0,2,-1,263,True,False
38-202-0-2,31,5,21,5,12,1,17,-1,403,False,False
38-204-0-2,17,5,7,5,3,1,3,-1,299,True,False
38-36-0-1,15,5,5,5,1,1,1,-1,201,False,True
38-36-0-2,15,5,5,5,1,1,1,-1,199,True,False
38-36-0-3,15,5,5,5,1,1,1,-1,223,False,True
38-36-0-4,15,5,5,5,1,1,1,-1,213,False,True
38-36-0-5,17,5,7,5,2,2,2,-1,252,False,True
38-36-1-1,33,5,23,5,3,17,3,-1,410,True,False
38-40-0-1,42,5,32,5,5,29,0,-1,460,True,False
38-45-0-1,16,5,6,5,1,2,1,-1,263,True,False
38-45-0-2,61,5,51,5,11,11,37,-1,846,True,False
38-45-0-3,49,5,44,0,0,31,10,-1,626,True,False
38-53-0-1,15,5,5,5,1,1,1,-1,239,True,False
38-53-1-1,16,5,6,5,2,1,2,-1,265,True,False
38-53-2-1,15,5,5,5,0,2,0,-1,249,True,False
38-53-2-2,15,5,5,5,0,2,0,-1,236,True,False
38-53-2-3,15,5,5,5,0,2,0,-1,240,True,False
38-9-0-1,19,5,9,5,5,6,0,-1,229,True,False
38-9-1-1,14,5,4,5,1,1,0,-1,214,True,False
38-9-1-2,15,5,5,5,2,2,0,-1,214,True,False
38-9-2-1,30,5,20,5,4,14,3,-1,376,True,False
38-99-0-2,36,5,26,5,0,23,0,-1,346,True,False
38-99-0-3,27,5,17,5,0,14,0,-1,349,True,False
38-99-0-4,22,5,16,1,0,13,0,-1,297,True,False
43-10-0-1,15,5,5,5,1,1,1,-1,216,True,False
48-0-0-1,35,5,25,5,18,18,4,-1,439,True,False
48-0-0-2,16,5,6,5,1,1,2,-1,264,True,False
7-0-0-1,17,5,7,5,3,3,1,-1,241,True,False
7-0-2-1,33,5,23,5,13,13,7,-1,521,True,False
9-8-0-1,14,5,4,5,1,0,1,-1,252,True,False
9-8-0-2,36,5,26,5,6,6,17,-1,474,True,False
9-8-0-3,32,5,22,5,7,1,18,-1,371,False,False
