repository,stars,language,created_at,updated_at,forks,open_issues,size,default_branch,description,url,clone_url,archived,disabled,architecture,community,continuous_integration,documentation,history,issues,license,size_metric,unit_test
Lissy93/web-check,25471,TypeScript,2023-06-25T14:32:11Z,2025-07-12T14:37:00Z,2018,68,27192,master,🕵️‍♂️ All-in-one OSINT tool for analysing any website,https://github.com/Lissy93/web-check,https://github.com/Lissy93/web-check.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Molunerfinn/PicGo,25392,TypeScript,2017-12-12T08:39:44Z,2025-07-12T11:31:07Z,2287,39,3836,dev,:rocket:A simple & beautiful tool for pictures uploading built by vue-cli-electron-builder,https://github.com/Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oldj/SwitchHosts,25344,TypeScript,2011-09-02T09:38:09Z,2025-07-12T14:20:03Z,2572,398,34252,master,Switch hosts quickly!,https://github.com/oldj/SwitchHosts,https://github.com/oldj/SwitchHosts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
honojs/hono,25116,TypeScript,2021-12-14T20:05:30Z,2025-07-12T10:13:42Z,743,289,8007,main,Web framework built on Web Standards,https://github.com/honojs/hono,https://github.com/honojs/hono.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
labring/FastGPT,25075,TypeScript,2023-02-23T16:53:25Z,2025-07-12T14:14:09Z,6448,586,338927,main,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",https://github.com/labring/FastGPT,https://github.com/labring/FastGPT.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingerprintjs/fingerprintjs,25016,TypeScript,2015-02-11T08:49:54Z,2025-07-12T07:16:08Z,2404,17,2940,master,The most advanced browser fingerprinting library.,https://github.com/fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
withfig/autocomplete,24972,TypeScript,2020-09-29T02:21:06Z,2025-07-12T13:07:35Z,5513,183,38860,master,IDE-style autocomplete for your existing terminal & shell,https://github.com/withfig/autocomplete,https://github.com/withfig/autocomplete.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neoclide/coc.nvim,24921,TypeScript,2018-05-01T22:39:02Z,2025-07-12T12:21:57Z,964,22,74645,master,"Nodejs extension host for vim & neovim, load extensions like VSCode and host language servers.",https://github.com/neoclide/coc.nvim,https://github.com/neoclide/coc.nvim.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Budibase/budibase,24912,TypeScript,2019-06-07T11:03:41Z,2025-07-12T14:08:29Z,1782,236,630849,master,"Create business apps and automate workflows in minutes. Supports PostgreSQL, MySQL, MariaDB, MSSQL, MongoDB, Rest API, Docker, K8s, and more 🚀 No code / Low code platform..",https://github.com/Budibase/budibase,https://github.com/Budibase/budibase.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NativeScript/NativeScript,24869,TypeScript,2015-03-01T09:47:08Z,2025-07-12T11:14:52Z,1664,914,178584,main,"⚡ Empowering JavaScript with native platform APIs. ✨ Best of all worlds (TypeScript, Swift, Objective C, Kotlin, Java, Dart). Use what you love ❤️ Angular, React, Solid, Svelte, Vue with: iOS (UIKit, SwiftUI), Android (View, Jetpack Compose), Dart (Flutter) and you name it compatible.",https://github.com/NativeScript/NativeScript,https://github.com/NativeScript/NativeScript.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
homebridge/homebridge,24835,TypeScript,2014-12-01T16:37:39Z,2025-07-12T14:31:56Z,2008,12,3471,latest,HomeKit support for the impatient.,https://github.com/homebridge/homebridge,https://github.com/homebridge/homebridge.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
heroui-inc/heroui,24804,TypeScript,2021-04-22T13:06:23Z,2025-07-12T14:21:50Z,1833,248,80927,canary,"🚀 Beautiful, fast and modern React UI library. (Previously NextUI)",https://github.com/heroui-inc/heroui,https://github.com/heroui-inc/heroui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vuejs/devtools-v6,24756,TypeScript,2014-09-29T03:52:07Z,2025-07-09T12:47:18Z,4146,511,14716,main,⚙️ Browser devtools extension for debugging Vue.js applications.,https://github.com/vuejs/devtools-v6,https://github.com/vuejs/devtools-v6.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
angular/components,24748,TypeScript,2016-01-04T18:50:02Z,2025-07-12T14:19:41Z,6810,2088,141748,main,Component infrastructure and Material Design components for Angular,https://github.com/angular/components,https://github.com/angular/components.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Redocly/redoc,24640,TypeScript,2015-10-30T12:53:02Z,2025-07-12T07:54:06Z,2341,379,59232,main,📘  OpenAPI/Swagger-generated API Reference Documentation,https://github.com/Redocly/redoc,https://github.com/Redocly/redoc.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GrapesJS/grapesjs,24534,TypeScript,2016-01-22T00:23:19Z,2025-07-12T10:02:20Z,4384,23,114403,dev,Free and Open source Web Builder Framework. Next generation tool for building templates without coding,https://github.com/GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai-translator/openai-translator,24523,TypeScript,2023-03-04T05:21:09Z,2025-07-12T14:29:30Z,1794,495,21910,main,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,https://github.com/openai-translator/openai-translator,https://github.com/openai-translator/openai-translator.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kamranahmedse/driver.js,24340,TypeScript,2018-03-11T19:52:13Z,2025-07-12T13:39:00Z,1100,99,2477,master,"A light-weight, no-dependency, vanilla JavaScript engine to drive user's focus across the page",https://github.com/kamranahmedse/driver.js,https://github.com/kamranahmedse/driver.js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BabylonJS/Babylon.js,24291,TypeScript,2013-06-27T20:40:42Z,2025-07-12T13:02:12Z,3543,39,1339164,master,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.",https://github.com/BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
react-navigation/react-navigation,24072,TypeScript,2017-01-26T19:51:40Z,2025-07-11T18:36:06Z,5101,840,74470,main,Routing and navigation for React Native and Web apps,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
sst/sst,24055,TypeScript,2020-08-04T20:28:14Z,2025-07-12T14:16:35Z,1857,676,161005,dev,Build full-stack apps on your own infrastructure.,https://github.com/sst/sst,https://github.com/sst/sst.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
youzan/vant,23951,TypeScript,2017-04-19T07:55:31Z,2025-07-12T07:53:22Z,9509,156,124444,main,"A lightweight, customizable Vue UI library for mobile web apps.",https://github.com/youzan/vant,https://github.com/youzan/vant.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electron-react-boilerplate/electron-react-boilerplate,23908,TypeScript,2015-05-18T09:54:57Z,2025-07-12T13:28:06Z,3993,177,17287,main,A Foundation for Scalable Cross-Platform Apps,https://github.com/electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mattermost-community/focalboard,23802,TypeScript,2020-10-06T16:46:23Z,2025-07-12T06:56:57Z,2214,763,58857,main,"Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.",https://github.com/mattermost-community/focalboard,https://github.com/mattermost-community/focalboard.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
blakeblackshear/frigate,23793,TypeScript,2019-01-26T13:52:38Z,2025-07-12T14:32:05Z,2227,167,94780,dev,NVR with realtime local object detection for IP cameras,https://github.com/blakeblackshear/frigate,https://github.com/blakeblackshear/frigate.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OI-wiki/OI-wiki,23572,TypeScript,2018-07-11T03:28:14Z,2025-07-12T13:03:54Z,4302,121,94883,master,:star2: Wiki of OI / ICPC for everyone. （某大型游戏线上攻略，内含炫酷算术魔法）,https://github.com/OI-wiki/OI-wiki,https://github.com/OI-wiki/OI-wiki.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
reduxjs/react-redux,23485,TypeScript,2015-07-11T17:32:01Z,2025-07-12T03:20:30Z,3357,27,11520,master,Official React bindings for Redux,https://github.com/reduxjs/react-redux,https://github.com/reduxjs/react-redux.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jquense/yup,23453,TypeScript,2014-09-22T23:54:22Z,2025-07-11T20:46:58Z,942,240,4179,master,Dead simple Object schema validation,https://github.com/jquense/yup,https://github.com/jquense/yup.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GoogleChromeLabs/squoosh,23262,TypeScript,2018-03-07T22:42:03Z,2025-07-12T08:28:44Z,1696,233,146371,dev,"Make images smaller using best-in-class codecs, right in the browser.",https://github.com/GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
usablica/intro.js,23214,TypeScript,2013-03-10T15:12:45Z,2025-07-12T12:15:21Z,2574,81,51334,master,"Lightweight, user-friendly onboarding tour library",https://github.com/usablica/intro.js,https://github.com/usablica/intro.js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conwnet/github1s,23127,TypeScript,2019-06-16T09:55:25Z,2025-07-12T11:16:31Z,896,58,17989,master,One second to read GitHub code with VS Code.,https://github.com/conwnet/github1s,https://github.com/conwnet/github1s.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ItzCrazyKns/Perplexica,23087,TypeScript,2024-04-09T10:51:32Z,2025-07-12T14:46:24Z,2400,176,17199,master,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,https://github.com/ItzCrazyKns/Perplexica,https://github.com/ItzCrazyKns/Perplexica.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kriasoft/react-starter-kit,22948,TypeScript,2014-04-16T13:08:18Z,2025-07-12T05:22:53Z,4163,7,19420,main,"Modern React starter kit with Bun, TypeScript, Tailwind CSS, tRPC, and Cloudflare Workers. Production-ready monorepo for building fast web apps.",https://github.com/kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
remotion-dev/remotion,22874,TypeScript,2020-06-23T19:49:10Z,2025-07-12T05:32:55Z,1226,79,3531341,main,🎥      Make videos programmatically with React,https://github.com/remotion-dev/remotion,https://github.com/remotion-dev/remotion.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
felixrieseberg/windows95,22844,TypeScript,2018-08-23T05:04:38Z,2025-07-10T08:14:43Z,1317,142,4857,master,"💩🚀 Windows 95 in Electron. Runs on macOS, Linux, and Windows.",https://github.com/felixrieseberg/windows95,https://github.com/felixrieseberg/windows95.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SigNoz/signoz,22742,TypeScript,2021-01-03T12:44:36Z,2025-07-12T13:51:20Z,1621,1516,95633,main,"SigNoz is an open-source observability platform native to OpenTelemetry with logs, traces and metrics in a single application. An open-source alternative to DataDog, NewRelic, etc. 🔥 🖥.   👉  Open source Application Performance Monitoring (APM) & Observability tool",https://github.com/SigNoz/signoz,https://github.com/SigNoz/signoz.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
react-bootstrap/react-bootstrap,22570,TypeScript,2013-12-27T19:06:07Z,2025-07-11T08:06:00Z,3617,207,32431,master,Bootstrap components built with React,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gitroomhq/postiz-app,22520,TypeScript,2023-07-08T17:24:22Z,2025-07-12T13:54:42Z,3547,102,35187,main,"📨 The ultimate social media scheduling tool, with a bunch of AI  🤖",https://github.com/gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pubkey/rxdb,22493,TypeScript,2016-12-02T19:34:42Z,2025-07-12T11:20:20Z,1121,21,437086,master,"A fast, local first, reactive Database for JavaScript Applications https://rxdb.info/",https://github.com/pubkey/rxdb,https://github.com/pubkey/rxdb.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
t4t5/sweetalert,22379,TypeScript,2014-09-30T11:12:48Z,2025-07-11T01:08:58Z,2809,199,5478,master,"A beautiful replacement for JavaScript's ""alert""",https://github.com/t4t5/sweetalert,https://github.com/t4t5/sweetalert.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jhipster/generator-jhipster,21967,TypeScript,2013-10-21T20:07:22Z,2025-07-12T12:11:21Z,4082,123,175622,main,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.",https://github.com/jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dubinc/dub,21874,TypeScript,2022-08-27T22:15:11Z,2025-07-12T11:53:56Z,2539,103,61037,main,"The modern link attribution platform. Loved by world-class marketing teams like Twilio, Buffer, Framer, Perplexity, Vercel, and more.",https://github.com/dubinc/dub,https://github.com/dubinc/dub.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CopilotKit/CopilotKit,21868,TypeScript,2023-06-19T04:08:31Z,2025-07-12T14:35:24Z,2959,226,626272,main,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",https://github.com/CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hcengineering/platform,21828,TypeScript,2021-08-02T19:39:23Z,2025-07-12T12:58:43Z,1457,789,192753,develop,"Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)",https://github.com/hcengineering/platform,https://github.com/hcengineering/platform.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wechaty/wechaty,21722,TypeScript,2016-05-01T14:36:45Z,2025-07-12T08:39:00Z,2708,187,9024,main,Conversational RPA SDK for Chatbot Makers. Join our Discord: https://discord.gg/7q8NBZbQzt,https://github.com/wechaty/wechaty,https://github.com/wechaty/wechaty.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BuilderIO/gpt-crawler,21692,TypeScript,2023-11-14T00:31:11Z,2025-07-12T13:34:14Z,2347,104,884,main,Crawl a site to generate knowledge files to create your own custom GPT from a URL,https://github.com/BuilderIO/gpt-crawler,https://github.com/BuilderIO/gpt-crawler.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wandb/openui,21584,TypeScript,2024-03-17T23:46:16Z,2025-07-12T10:08:04Z,2011,76,28750,main,"OpenUI let's you describe UI using your imagination, then see it rendered live.",https://github.com/wandb/openui,https://github.com/wandb/openui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
facebook/lexical,21565,TypeScript,2020-12-03T22:53:26Z,2025-07-12T13:28:10Z,1928,519,83569,main,"Lexical is an extensible text editor framework that provides excellent reliability, accessibility and performance.",https://github.com/facebook/lexical,https://github.com/facebook/lexical.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QwikDev/qwik,21498,TypeScript,2021-05-19T15:33:32Z,2025-07-12T13:57:48Z,1354,307,57846,main,"Instant-loading web apps, without effort",https://github.com/QwikDev/qwik,https://github.com/QwikDev/qwik.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
react-dnd/react-dnd,21489,TypeScript,2014-10-19T13:29:28Z,2025-07-12T04:26:54Z,2013,469,588032,main,Drag and Drop for React,https://github.com/react-dnd/react-dnd,https://github.com/react-dnd/react-dnd.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vueuse/vueuse,21362,TypeScript,2019-12-14T06:44:59Z,2025-07-11T19:00:32Z,2723,275,14446,main,Collection of essential Vue Composition Utilities for Vue 3,https://github.com/vueuse/vueuse,https://github.com/vueuse/vueuse.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dokploy/dokploy,21338,TypeScript,2024-04-19T07:49:30Z,2025-07-12T13:07:13Z,1182,193,19563,canary,"Open Source Alternative to Vercel, Netlify and Heroku.",https://github.com/Dokploy/dokploy,https://github.com/Dokploy/dokploy.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
basarat/typescript-book,21255,TypeScript,2015-03-21T07:01:38Z,2025-07-12T11:57:48Z,2601,152,8711,master,:books: The definitive guide to TypeScript and possibly the best TypeScript book :book:. Free and Open Source 🌹,https://github.com/basarat/typescript-book,https://github.com/basarat/typescript-book.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
palantir/blueprint,21149,TypeScript,2016-10-25T21:17:50Z,2025-07-12T11:29:21Z,2206,810,193857,develop,A React-based UI toolkit for the web,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
daytonaio/daytona,20965,TypeScript,2024-02-06T08:21:20Z,2025-07-12T14:04:54Z,2335,96,23369,main,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,https://github.com/daytonaio/daytona,https://github.com/daytonaio/daytona.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SBoudrias/Inquirer.js,20963,TypeScript,2013-05-17T01:41:36Z,2025-07-12T03:49:50Z,1327,44,3281538,main,A collection of common interactive command line user interfaces.,https://github.com/SBoudrias/Inquirer.js,https://github.com/SBoudrias/Inquirer.js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
darkreader/darkreader,20890,TypeScript,2014-11-15T14:22:52Z,2025-07-12T14:40:04Z,2562,1356,36351,main,Dark Reader Chrome and Firefox extension,https://github.com/darkreader/darkreader,https://github.com/darkreader/darkreader.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eclipse-theia/theia,20849,TypeScript,2017-02-24T14:42:05Z,2025-07-12T02:49:13Z,2646,1668,185489,master,Eclipse Theia is a cloud & desktop IDE framework implemented in TypeScript.,https://github.com/eclipse-theia/theia,https://github.com/eclipse-theia/theia.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
onlook-dev/onlook,20628,TypeScript,2024-06-25T19:16:02Z,2025-07-12T14:31:05Z,1346,251,73083,main,"The Cursor for Designers • An Open-Source Visual Vibecoding Editor • Visually build, style, and edit your React App with AI",https://github.com/onlook-dev/onlook,https://github.com/onlook-dev/onlook.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
desktop/desktop,20615,TypeScript,2016-05-11T15:59:00Z,2025-07-12T10:31:28Z,9711,865,103540,development,Focus on what matters instead of fighting with Git.,https://github.com/desktop/desktop,https://github.com/desktop/desktop.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
elastic/kibana,20575,TypeScript,2013-01-26T04:00:59Z,2025-07-12T14:45:18Z,8393,13302,10550140,main,Your window into the Elastic Stack,https://github.com/elastic/kibana,https://github.com/elastic/kibana.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chokcoco/iCSS,20356,TypeScript,2016-09-19T09:55:32Z,2025-07-11T15:41:06Z,2048,243,688,master,不止于 CSS,https://github.com/chokcoco/iCSS,https://github.com/chokcoco/iCSS.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GeekyAnts/NativeBase,20320,TypeScript,2016-04-15T11:37:23Z,2025-07-12T09:16:23Z,2392,373,71021,master,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wg-easy/wg-easy,20252,TypeScript,2021-05-22T09:12:05Z,2025-07-12T13:25:24Z,1929,26,6060,master,The easiest way to run WireGuard VPN + Web-based Admin UI.,https://github.com/wg-easy/wg-easy,https://github.com/wg-easy/wg-easy.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
graphql/graphql-js,20216,TypeScript,2015-06-30T12:16:50Z,2025-07-12T10:02:12Z,2050,163,28336,16.x.x,A reference implementation of GraphQL for JavaScript,https://github.com/graphql/graphql-js,https://github.com/graphql/graphql-js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pmndrs/jotai,20196,TypeScript,2020-08-11T23:15:36Z,2025-07-12T13:05:56Z,676,6,14355,main,👻 Primitive and flexible state management for React,https://github.com/pmndrs/jotai,https://github.com/pmndrs/jotai.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
actualbudget/actual,20143,TypeScript,2022-04-29T02:41:34Z,2025-07-12T14:37:39Z,1628,174,277306,master,A local-first personal finance app,https://github.com/actualbudget/actual,https://github.com/actualbudget/actual.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
airbnb/visx,20134,TypeScript,2017-03-15T16:25:41Z,2025-07-10T22:34:24Z,742,168,16402,master,🐯 visx | visualization components,https://github.com/airbnb/visx,https://github.com/airbnb/visx.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wenyan-lang/wenyan,20072,TypeScript,2019-12-08T20:21:32Z,2025-07-12T11:38:53Z,1096,208,47391,master,文言文編程語言 A programming language for the ancient Chinese.,https://github.com/wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bokeh/bokeh,19960,TypeScript,2012-03-26T15:40:01Z,2025-07-12T12:56:14Z,4223,835,352397,branch-3.8,"Interactive Data Visualization in the browser, from  Python",https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lit/lit,19928,TypeScript,2017-06-29T16:27:16Z,2025-07-12T11:40:02Z,976,579,59498,main,"Lit is a simple library for building fast, lightweight web components.",https://github.com/lit/lit,https://github.com/lit/lit.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beekeeper-studio/beekeeper-studio,19686,TypeScript,2019-07-23T18:12:33Z,2025-07-12T12:01:21Z,1256,875,103965,master,"Modern and easy to use SQL client for MySQL, Postgres, SQLite, SQL Server, and more. Linux, MacOS, and Windows.",https://github.com/beekeeper-studio/beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fullcalendar/fullcalendar,19683,TypeScript,2009-11-22T23:16:51Z,2025-07-12T04:26:18Z,3683,1056,32554,main,Full-sized drag & drop event calendar in JavaScript,https://github.com/fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RealKai42/qwerty-learner,19653,TypeScript,2021-01-21T11:14:16Z,2025-07-12T13:23:54Z,2064,234,184753,master,为键盘工作者设计的单词记忆与英语肌肉记忆锻炼软件 / Words learning and English muscle memory training software designed for keyboard workers,https://github.com/RealKai42/qwerty-learner,https://github.com/RealKai42/qwerty-learner.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apollographql/apollo-client,19596,TypeScript,2016-02-26T20:25:00Z,2025-07-12T04:19:27Z,2688,508,95563,main,"The industry-leading GraphQL client for TypeScript, JavaScript, React, Vue, Angular, and more. Apollo Client delivers powerful caching, intuitive APIs, and comprehensive developer tools to accelerate your app development.",https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoft/fluentui,19397,TypeScript,2016-06-06T15:03:44Z,2025-07-12T11:42:23Z,2813,664,766619,master,"Fluent UI web represents a collection of utilities, React components, and web components for building web applications.",https://github.com/microsoft/fluentui,https://github.com/microsoft/fluentui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
renovatebot/renovate,19331,TypeScript,2016-12-17T16:21:21Z,2025-07-12T12:41:27Z,2652,755,128505,main,Home of the Renovate CLI: Cross-platform Dependency Automation by Mend.io,https://github.com/renovatebot/renovate,https://github.com/renovatebot/renovate.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pavlobu/deskreen,19134,TypeScript,2020-08-08T13:24:18Z,2025-07-12T14:45:48Z,1059,114,5968,master,Deskreen turns any device with a web browser into a secondary screen for your computer. ⭐️ Star to support our work!,https://github.com/pavlobu/deskreen,https://github.com/pavlobu/deskreen.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lissy93/personal-security-checklist,19125,TypeScript,2018-03-02T21:12:37Z,2025-07-12T14:34:50Z,1331,48,91902,master,🔒 A compiled checklist of 300+ tips for protecting digital security and privacy in 2024,https://github.com/Lissy93/personal-security-checklist,https://github.com/Lissy93/personal-security-checklist.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reduxjs/reselect,19068,TypeScript,2015-07-01T11:06:45Z,2025-07-11T09:14:46Z,670,43,6100,master,Selector library for Redux,https://github.com/reduxjs/reselect,https://github.com/reduxjs/reselect.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shadcn-ui/taxonomy,18975,TypeScript,2022-10-18T18:15:20Z,2025-07-12T11:17:10Z,2668,215,14478,main,"An open source application built using the new router, server components and everything new in Next.js 13.",https://github.com/shadcn-ui/taxonomy,https://github.com/shadcn-ui/taxonomy.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
teableio/teable,18973,TypeScript,2022-11-01T07:02:49Z,2025-07-12T14:02:33Z,965,106,32963,develop,✨ The Next Gen Airtable Alternative: No-Code Postgres,https://github.com/teableio/teable,https://github.com/teableio/teable.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
